CreativeID,AdSetID,CreativeName,CreativeType,Theme,LaunchDate
CRV_00333,ADS_0086,Image_Lifestyle_v3,Image,Lifestyle,2026-01-20
CRV_00334,ADS_0086,Image_UGC_v4,Image,UGC,2026-02-04
CRV_00335,ADS_0086,Video_How-To_v5,Video,How-To,2026-03-06
CRV_00336,ADS_0087,Video_Testimonial_v1,Video,Testimonial,2026-03-21
CRV_00337,ADS_0087,Image_Product Close-up_v2,Image,Product Close-up,2026-01-20
CRV_00338,ADS_0087,Video_Lifestyle_v3,Video,Lifestyle,2026-01-20
CRV_00339,ADS_0088,Image_Studio Shot_v1,Image,Studio Shot,2026-01-20
CRV_00340,ADS_0088,Image_Testimonial_v2,Image,Testimonial,2026-01-20
CRV_00341,ADS_0088,Image_Lifestyle_v3,Image,Lifestyle,2026-01-20
CRV_00342,ADS_0088,Image_Before-After_v4,Image,Before-After,2026-02-19
CRV_00343,ADS_0088,Carousel_Testimonial_v5,Carousel,Testimonial,2026-01-20
